"name";"position";"height";"weight";"last_attended";"country"
"Terry Rozier";"Guard";"'6'1""";190;"Louisville";"USA"
"Domantas Sabonis";"Forward-Center";"'6'10""";240;"Gonzaga";"Lithuania"
"Gui Santos";"Forward";"'6'6""";185;"Minas";"Brazil"
"Brice Sensabaugh";"Forward";"'6'5""";235;"Ohio State";"USA"
"Ben Sheppard";"Guard";"'6'6""";190;"Belmont";"USA"
"Jericho Sims";"Center";"'6'10""";250;"Texas";"USA"
"Jalen Slawson";"Forward";"'6'7""";215;"Furman";"USA"
"Jalen Smith";"Forward-Center";"'6'9""";215;"Maryland";"USA"
"Nick Smith Jr.";"Guard";"'6'2""";185;"Arkansas";"USA"
"Jayson Tatum";"Forward-Guard";"'6'8""";210;"Duke";"USA"
"Klay Thompson";"Guard";"'6'6""";220;"Washington State";"USA"
"Xavier Tillman";"Forward";"'6'7""";245;"Michigan State";"USA"
"Obi Toppin";"Forward";"'6'9""";220;"Dayton";"USA"
"Karl-Anthony Towns";"Center-Forward";"'7'0""";248;"Kentucky";"USA"
"Myles Turner";"Center-Forward";"'6'11""";250;"Texas";"USA"
"Jarace Walker";"Forward";"'6'7""";235;"Houston";"USA"
"Cason Wallace";"Guard";"'6'3""";195;"Kentucky";"USA"
"Jordan Walsh";"Guard";"'6'6""";205;"Arkansas";"USA"
"P.J. Washington";"Forward";"'6'7""";230;"Kentucky";"USA"
"Russell Westbrook";"Guard";"'6'4""";200;"UCLA";"USA"
"Aaron Wiggins";"Guard";"'6'5""";190;"Maryland";"USA"
"Grant Williams";"Forward";"'6'6""";236;"Tennessee";"USA"
"Jalen Williams";"Guard-Forward";"'6'5""";211;"Santa Clara";"USA"
"Jaylin Williams";"Forward";"'6'9""";240;"Arkansas";"USA"
"Mark Williams";"Center";"'7'0""";240;"Duke";"USA"
"Zion Williamson";"Forward";"'6'6""";284;"Duke";"USA"
"Isaiah Wong";"Guard";"'6'3""";185;"Miami";"USA"
"Cody Zeller";"Forward-Center";"'6'11""";240;"Indiana";"USA"
