"player_name";"team_id";"team_abbr";"max_game_date";"GP";"W";"L";"W_PCT";"MIN";"FGM";"FGA";"FG_PCT";"FG3M";"FG3A";"FG3_PCT";"FTM";"FTA";"FT_PCT";"OREB";"DREB";"REB";"AST";"TOV";"STL";"BLK";"BLKA";"PF";"PFD";"PTS";"PLUS_MINUS";"NBA_FANTASY_PTS";"DD2";"TD3";"WNBA_FANTASY_PTS";"GP_RANK";"W_RANK";"L_RANK";"W_PCT_RANK";"MIN_RANK";"FGM_RANK";"FGA_RANK";"FG_PCT_RANK";"FG3M_RANK";"FG3A_RANK";"FG3_PCT_RANK";"FTM_RANK";"FTA_RANK";"FT_PCT_RANK";"OREB_RANK";"DREB_RANK";"REB_RANK";"AST_RANK";"TOV_RANK";"STL_RANK";"BLK_RANK";"BLKA_RANK";"PF_RANK";"PFD_RANK";"PTS_RANK";"PLUS_MINUS_RANK";"NBA_FANTASY_PTS_RANK";"DD2_RANK";"TD3_RANK";"WNBA_FANTASY_PTS_RANK"
"Moussa Diabate";1610612746;"LAC";"2024-03-01";11;7;4;0.636;64.23833333333333;10;19;0.526;0;0;0.0;9;14;0.643;15;9;24;4;2;5;1;3;4;10;29;-2;80;0;0;69;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;1;2;2;2;1;1;2;2;1;2;1;1;2
"Ousmane Dieng";1610612760;"OKC";"2024-03-20";31;19;12;0.613;341.62;43;104;0.413;20;67;0.299;14;16;0.875;10;40;50;33;17;5;3;3;20;14;120;-1;237;0;0;239;2;2;1;1;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;1;1;2
"Chris Duarte";1610612758;"SAC";"2024-04-02";55;33;22;0.6;698.3633333333333;79;203;0.389;43;121;0.355;26;33;0.788;26;76;102;42;24;28;8;11;75;46;227;-72;496;0;0;486;1;1;1;1;3;3;3;2;3;3;2;3;3;3;2;3;3;3;3;2;3;1;2;3;3;2;3;1;1;3
"Kris Dunn";1610612762;"UTA";"2024-04-02";65;25;40;0.385;1225.5766666666666;144;308;0.468;41;110;0.373;18;27;0.667;49;139;188;253;78;67;28;18;132;30;347;9;1159;1;0;1019;2;2;7;1;5;4;5;2;2;3;2;6;6;7;1;5;2;3;4;5;2;4;4;6;4;1;3;4;1;3
"Kevin Durant";1610612756;"PHX";"2024-04-01";68;39;29;0.574;2525.701666666667;686;1300;0.528;153;364;0.42;342;400;0.855;37;422;459;350;227;62;88;44;119;339;1867;250;3166;14;1;3129;9;10;14;15;10;7;9;5;4;6;4;12;12;15;10;10;11;7;7;10;4;12;7;7;8;12;8;11;6;8
"Anthony Edwards";1610612750;"MIN";"2024-04-02";72;50;22;0.694;2538.083333333333;660;1430;0.462;172;480;0.358;383;461;0.831;47;353;400;369;225;92;41;54;129;303;1875;448;3083;9;0;3082;2;1;1;1;2;2;2;1;3;4;2;1;1;1;3;2;2;1;2;3;3;2;1;1;2;1;2;1;1;2
"Dante Exum";1610612742;"DAL";"2024-04-02";49;31;18;0.633;947.5216666666666;149;271;0.55;49;95;0.516;51;66;0.773;22;102;124;139;42;21;5;16;77;72;398;180;791;0;0;762;3;3;4;2;3;2;3;1;2;3;1;3;3;5;3;2;3;2;4;2;4;6;6;3;2;1;2;2;1;3
"De'Aaron Fox";1610612758;"SAC";"2024-04-02";67;40;27;0.597;2391.468333333333;643;1390;0.463;183;508;0.36;295;400;0.738;64;240;304;383;177;134;29;64;176;308;1764;206;3015;6;0;2960;4;2;1;2;3;2;1;5;1;1;2;4;4;3;1;3;2;4;3;1;2;4;6;4;2;1;1;5;2;1
"Keyonte George";1610612762;"UTA";"2024-04-02";69;25;44;0.362;1858.1766666666667;285;739;0.386;132;397;0.332;176;207;0.85;14;184;198;310;166;34;7;48;83;188;878;-352;1538;1;0;1600;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Paul George";1610612746;"LAC";"2024-04-02";69;44;25;0.638;2352.6583333333333;547;1162;0.471;231;560;0.413;232;257;0.903;35;328;363;244;137;107;34;52;190;207;1557;422;2645;2;0;2677;7;5;7;5;7;6;7;1;3;4;1;7;8;1;11;7;8;9;9;8;4;7;7;9;6;3;7;11;5;7
"Josh Giddey";1610612760;"OKC";"2024-04-02";74;52;22;0.703;1841.2883333333332;370;777;0.476;78;227;0.344;85;108;0.787;103;361;464;341;146;48;42;63;99;84;903;322;2095;7;2;1966;2;1;1;1;2;2;2;2;1;2;1;2;2;1;2;2;2;3;3;3;1;2;2;3;2;1;2;3;3;2
"Shai Gilgeous-Alexander";1610612760;"OKC";"2024-03-31";71;51;20;0.718;2443.97;763;1416;0.539;92;252;0.365;532;610;0.872;62;332;394;447;156;148;64;73;179;458;2150;538;3773;8;0;3507;2;1;2;1;1;1;1;1;1;2;3;2;2;2;1;2;2;1;2;1;2;5;5;2;1;1;1;2;3;1
"Eric Gordon";1610612756;"PHX";"2024-04-01";62;37;25;0.597;1762.99;261;583;0.448;143;372;0.384;48;60;0.8;16;104;120;132;69;57;28;39;76;59;713;105;1241;0;0;1278;6;4;7;5;9;10;10;7;4;4;6;16;16;11;9;9;9;11;13;5;3;9;8;15;10;4;9;3;1;9
"Draymond Green";1610612744;"GSW";"2024-04-02";50;30;20;0.6;1337.5183333333334;174;349;0.499;45;117;0.385;53;70;0.757;70;292;362;300;121;49;42;17;150;114;446;143;1482;8;1;1335;10;11;6;8;9;8;9;3;7;10;2;11;11;5;6;9;9;8;9;11;10;5;3;9;8;10;9;7;6;9
"Josh Green";1610612742;"DAL";"2024-03-14";54;31;23;0.574;1436.415;175;355;0.493;71;177;0.401;37;55;0.673;38;136;174;125;57;45;9;29;105;73;458;-49;959;0;0;936;3;2;2;2;2;2;2;3;1;1;2;2;2;3;3;1;2;1;2;1;2;4;2;2;2;4;2;3;1;2
"Tyrese Haliburton";1610612754;"IND";"2024-04-01";63;36;27;0.571;2025.9283333333333;463;969;0.478;179;486;0.368;179;208;0.861;34;215;249;695;145;74;42;53;67;154;1284;257;2828;42;1;2639;1;1;2;1;1;1;1;3;1;1;5;1;1;2;3;1;1;1;1;4;1;5;2;2;1;1;1;1;1;1
"Tim Hardaway Jr.";1610612742;"DAL";"2024-04-02";72;44;28;0.611;1975.611666666667;371;915;0.405;201;557;0.361;139;163;0.853;21;218;239;126;63;38;6;31;97;152;1082;51;1627;0;0;1736;3;1;4;1;5;4;1;7;4;1;5;6;7;3;5;2;2;6;7;7;8;7;4;6;4;6;5;3;1;4
"James Harden";1610612746;"LAC";"2024-04-02";68;43;25;0.632;2362.635;335;774;0.433;178;458;0.389;285;325;0.877;33;315;348;581;176;76;57;41;123;227;1133;280;2645;22;2;2506;10;9;8;11;9;10;10;14;8;9;2;13;13;4;13;8;10;6;11;11;4;4;6;13;10;8;10;8;10;10
"Jaden Hardy";1610612742;"DAL";"2024-04-02";66;39;27;0.591;890.47;178;435;0.409;77;210;0.367;49;64;0.766;16;94;110;99;50;18;4;23;69;71;482;-83;779;0;0;812;1;1;1;1;1;1;1;2;1;1;2;2;2;2;1;1;1;1;1;1;2;1;2;1;1;2;1;1;1;1
"Josh Hart";1610612752;"NYK";"2024-04-02";74;43;31;0.581;2456.04;254;608;0.418;75;246;0.305;79;102;0.775;118;492;610;296;107;67;22;48;151;108;662;296;1998;18;6;1821;1;1;6;2;1;1;1;8;4;3;8;4;4;3;1;1;1;1;1;1;3;9;8;2;1;1;1;1;1;1
"Jordan Hawkins";1610612740;"NOP";"2024-04-01";64;37;27;0.578;1140.0833333333333;172;450;0.382;107;293;0.365;67;80;0.838;28;117;145;70;38;18;6;17;71;43;518;16;831;0;0;888;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Gordon Hayward";1610612760;"OKC";"2024-04-02";21;15;6;0.714;348.55;33;81;0.407;13;24;0.542;18;26;0.692;11;40;51;36;9;7;1;7;18;17;97;-40;227;0;0;213;14;13;2;1;14;14;14;15;14;14;1;14;14;14;14;14;14;14;14;14;14;2;2;14;14;11;14;11;1;14
"Gordon Hayward";1610612766;"CHA";"2023-12-26";25;7;18;0.28;797.8833333333333;139;297;0.468;22;61;0.361;62;81;0.765;25;92;117;116;51;28;12;11;46;72;362;-133;745;0;0;697;13;14;3;14;13;13;12;7;13;13;9;13;13;12;13;13;13;12;13;13;12;3;3;13;13;13;13;11;1;13
"Taylor Hendricks";1610612762;"UTA";"2024-04-02";34;11;23;0.324;713.2816666666666;91;207;0.44;44;122;0.361;20;25;0.8;40;118;158;22;23;21;26;11;72;17;246;-132;587;1;0;564;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Tyler Herro";1610612748;"MIA";"2024-02-23";36;19;17;0.528;1209.361666666667;283;648;0.437;117;293;0.399;66;79;0.835;18;173;191;158;77;29;3;41;51;68;749;-23;1234;2;0;1279;5;5;1;5;5;4;4;4;3;5;1;5;5;4;4;5;5;4;5;5;5;3;1;5;4;4;5;4;2;5
"Chet Holmgren";1610612760;"OKC";"2024-04-02";75;52;23;0.693;2240.99;467;877;0.532;121;322;0.376;197;246;0.801;116;474;590;189;121;47;178;58;182;227;1252;379;2798;22;0;2602;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Trayce Jackson-Davis";1610612744;"GSW";"2024-04-02";61;34;27;0.557;965.76;200;284;0.704;0;1;0.0;61;111;0.55;118;177;295;70;41;25;63;33;99;77;461;45;1143;5;0;1002;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Jaime Jaquez Jr.";1610612748;"MIA";"2024-04-02";68;40;28;0.588;1956.1483333333333;317;650;0.488;58;186;0.312;129;160;0.806;76;186;262;174;104;71;15;61;154;121;821;30;1550;1;0;1487;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Keyontae Johnson";1610612760;"OKC";"2024-02-27";9;7;2;0.778;66.2;5;16;0.313;1;3;0.333;0;0;0.0;4;6;10;4;4;1;0;2;5;0;11;-7;28;0;0;28;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Colby Jones";1610612758;"SAC";"2024-04-02";24;13;11;0.542;145.375;21;55;0.382;1;15;0.067;2;5;0.4;14;17;31;14;6;4;1;3;19;5;45;-13;112;0;0;101;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Herbert Jones";1610612740;"NOP";"2024-04-01";69;42;27;0.609;2071.125;271;536;0.506;105;248;0.423;122;142;0.859;70;174;244;179;81;95;61;36;203;126;769;197;1717;0;0;1609;2;1;1;1;2;2;2;1;1;1;1;3;3;1;3;2;3;1;3;3;1;2;1;3;1;1;2;2;1;2
"Nikola Jovic";1610612748;"MIA";"2024-04-02";39;20;19;0.513;730.945;93;212;0.439;50;122;0.41;25;39;0.641;23;135;158;80;36;22;13;7;69;46;261;160;640;0;0;619;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1
"Corey Kispert";1610612764;"WAS";"2024-04-02";74;15;59;0.203;1843.305;348;719;0.484;164;436;0.376;104;144;0.722;27;176;203;127;85;39;15;47;127;107;964;-388;1475;1;0;1566;2;3;3;3;2;1;1;2;1;1;2;1;1;3;3;1;3;1;1;1;2;3;3;1;1;3;1;1;1;1
"Jonathan Kuminga";1610612744;"GSW";"2024-03-26";70;36;34;0.514;1843.525;438;828;0.529;50;158;0.316;214;289;0.74;88;245;333;148;116;51;34;72;159;207;1140;129;1901;4;0;1841;1;3;3;3;1;1;1;1;2;1;3;1;1;1;1;1;1;1;1;1;1;3;3;1;1;1;1;1;1;1
"Saben Lee";1610612756;"PHX";"2024-03-09";21;12;9;0.571;177.73833333333334;18;53;0.34;2;16;0.125;29;39;0.744;9;22;31;30;8;7;3;7;13;26;67;16;171;0;0;150;4;3;2;2;4;4;4;5;4;4;4;4;4;2;4;4;4;4;4;4;3;2;2;4;4;1;4;3;1;4
"Alex Len";1610612758;"SAC";"2024-04-02";41;22;19;0.537;381.0033333333333;47;75;0.627;0;3;0.0;18;30;0.6;43;74;117;38;24;11;30;10;55;24;112;129;408;0;0;349;8;6;5;4;9;9;10;1;11;8;11;10;10;12;9;9;9;8;10;9;8;5;4;10;9;1;9;10;1;9
"Kawhi Leonard";1610612746;"LAC";"2024-03-31";68;44;24;0.647;2330.04;610;1162;0.525;140;336;0.417;253;286;0.885;84;332;416;244;119;111;59;30;97;287;1613;392;2869;4;1;2753;3;6;12;10;3;2;2;1;2;2;2;6;6;3;4;7;5;4;4;5;2;6;6;4;2;6;3;9;1;2
"Kira Lewis Jr.";1610612762;"UTA";"2024-04-02";10;1;9;0.1;74.89333333333333;10;24;0.417;2;10;0.2;5;6;0.833;4;4;8;14;5;2;1;0;3;5;27;-18;62;0;0;57;5;5;3;5;5;5;5;2;4;5;4;5;5;4;4;5;5;5;5;5;3;1;2;5;5;4;5;1;1;5
"Kira Lewis Jr.";1610612740;"NOP";"2024-01-13";15;9;6;0.6;143.56;16;52;0.308;2;20;0.1;10;11;0.909;4;10;14;18;8;5;1;4;8;8;44;-19;98;0;0;90;4;3;2;1;4;4;4;5;4;4;5;3;4;1;4;4;4;4;4;4;3;3;3;4;4;5;4;1;1;4
"E.J. Liddell";1610612740;"NOP";"2024-01-27";8;3;5;0.375;23.08333333333333;1;6;0.167;0;5;0.0;2;2;1.0;0;5;5;1;2;2;2;0;2;1;4;-4;22;0;0;18;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Dereck Lively II";1610612742;"DAL";"2024-03-31";55;35;20;0.636;1294.2816666666668;221;296;0.747;0;2;0.0;41;81;0.506;135;243;378;60;50;36;77;20;144;75;483;144;1316;8;0;1147;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Kevon Looney";1610612744;"GSW";"2024-04-02";68;39;29;0.574;1117.9533333333334;128;211;0.607;0;1;0.0;51;75;0.68;132;258;390;128;47;24;23;22;146;67;307;-24;1061;1;0;919;4;6;7;6;5;4;4;3;7;7;7;4;5;2;4;3;4;3;3;5;5;5;6;4;4;8;4;3;1;4
"Trey Lyles";1610612758;"SAC";"2024-04-02";51;31;20;0.608;1013.1233333333332;127;281;0.452;75;193;0.389;46;66;0.697;52;172;224;63;34;14;16;11;80;62;375;132;794;0;0;797;7;6;3;2;7;8;8;6;3;5;1;8;8;8;6;8;8;6;8;8;8;2;3;6;8;1;8;9;1;8
