TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,PLAYER_NAME
1610612752,NYK,2024-04-02T00:00:00,20,9,11,0.45,282.8183333333333,49,156,0.314,24,80,0.3,22,31,0.71,8,29,37,16,14,4,1,9,10,22,144,-70,213.4,0,0,231.0,14,12,4,9,15,15,15,17,14,10,16,16,16,17,15,15,15,16,16,17,15,3,2,16,15,12,16,6,1,15,Alec Burks
1610612764,WAS,2024-04-02T00:00:00,34,6,28,0.176,425.12,74,149,0.497,19,59,0.322,21,24,0.875,7,34,41,95,40,21,5,8,40,33,188,-35,417.7,0,0,395.0,2,2,3,3,1,1,2,1,2,2,2,1,1,1,1,2,2,1,1,1,2,3,2,1,1,3,1,1,1,1,Jared Butler
1610612748,MIA,2024-04-02T00:00:00,53,29,24,0.547,1801.05,353,708,0.499,51,124,0.411,354,413,0.857,96,188,284,259,90,72,17,55,64,282,1111,204,2017.3,5,1,1883.0,11,13,8,11,11,8,10,2,6,7,1,9,9,5,8,11,12,8,10,12,12,10,3,9,9,7,9,7,6,9,Jimmy Butler
1610612748,MIA,2024-03-31T00:00:00,22,11,11,0.5,253.54166666666663,34,79,0.43,11,31,0.355,18,23,0.783,15,21,36,10,8,10,5,3,21,15,97,-16,192.2,0,0,184.0,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,1,2,2,2,1,1,2,Jamal Cain
1610612762,UTA,2024-03-25T00:00:00,55,22,33,0.4,1682.3416666666667,337,816,0.413,91,309,0.294,177,201,0.881,49,139,188,277,146,35,6,51,81,140,942,-191,1560.1,6,1,1580.0,8,6,8,7,7,7,7,12,8,7,12,2,3,3,6,7,8,1,3,8,10,8,5,6,7,8,7,1,1,7,Jordan Clarkson
1610612746,LAC,2024-04-02T00:00:00,63,42,21,0.667,1239.93,137,276,0.496,59,144,0.41,49,56,0.875,24,95,119,68,31,34,11,14,87,45,382,-77,730.8,1,0,718.0,2,1,3,2,2,2,2,1,2,2,2,2,3,1,2,2,2,2,2,2,2,3,4,3,2,4,2,1,1,2,Amir Coffey
1610612762,UTA,2024-03-29T00:00:00,68,27,41,0.397,1901.06,397,746,0.532,86,232,0.371,147,185,0.795,157,418,575,77,98,40,61,73,191,164,1027,-307,2037.5,24,0,1967.0,3,3,6,4,2,3,3,5,1,2,3,3,4,4,3,1,2,6,3,3,5,7,3,6,3,7,2,2,1,2,John Collins
1610612750,MIN,2024-04-02T00:00:00,70,50,20,0.714,2026.368333333333,269,589,0.457,161,368,0.438,94,104,0.904,32,166,198,423,85,81,15,14,119,109,793,291,1868.1,4,0,1767.0,7,2,4,2,11,13,13,3,3,4,1,14,15,1,7,9,9,7,14,11,7,4,8,15,12,5,11,10,1,10,Mike Conley
1610612764,WAS,2024-03-16T00:00:00,63,11,52,0.175,1715.25,188,432,0.435,64,185,0.346,92,131,0.702,56,200,256,110,87,57,48,43,137,101,532,-419,1232.2,1,0,1172.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bilal Coulibaly
1610612746,LAC,2023-10-29T00:00:00,3,2,1,0.667,69.28666666666666,3,9,0.333,2,8,0.25,1,2,0.5,2,6,8,7,0,6,2,0,7,4,9,45,53.1,0,0,42.0,15,15,1,2,14,15,15,15,15,15,15,14,14,14,14,14,14,14,15,14,14,1,2,14,15,6,14,11,1,14,Robert Covington
