Name,Position,Height,Weight,Last Attended,Country
Patrick Eddie,Center,"'6'11""",240,Mississippi,USA
Thomas Eddleman,Forward,"'6'2""",189,Illinois,USA
Kent Edelin,Forward,"'6'8""",205,Virginia,USA
Keith Edmonson,Guard,"'6'5""",195,Purdue,USA
Tyus Edney,Guard,"'5'10""",166,UCLA,USA
Anthony Edwards,Guard,"'6'4""",225,Georgia,USA
Bill Edwards,Forward,"'6'8""",215,Wright State,USA
Blue Edwards,Forward,"'6'4""",200,East Carolina,USA
Carsen Edwards,Guard,"'5'11""",200,Purdue,USA
Corsley Edwards,Forward,"'6'9""",275,Central Connecticut State,USA
Doug Edwards,Forward,"'6'7""",235,Florida State,USA
Franklin Edwards,Guard,"'6'1""",170,Cleveland State,USA
James Edwards,Center,"'7'1""",252,Washington,USA
Jay Edwards,Forward,"'6'4""",185,Indiana,USA
John Edwards,Center,"'7'0""",275,Kent State,USA
Kessler Edwards,Forward,"'6'7""",203,Pepperdine,USA
Kevin Edwards,Guard,"'6'3""",210,DePaul,USA
Rob Edwards,Guard,"'6'5""",205,Arizona State,USA
Shane Edwards,Forward,"'6'7""",220,Arkansas-Little Rock,USA
Vincent Edwards,Forward,"'6'8""",225,Purdue,USA
Johnny Egan,Guard,"'6'0""",180,Providence,USA
Lonnie Eggleston,Guard,"'6'0""",170,Oklahoma State,USA
Eddie Ehlers,Guard,"'6'3""",198,Purdue,USA
Craig Ehlo,Guard,"'6'6""",180,Washington State,USA
Dick Eichhorst,Guard,"'6'3""",200,Southeast Missouri,USA
Howard Eisley,Guard,"'6'2""",185,Boston College,USA
Obinna Ekezie,Center,"'6'9""",270,Maryland,Nigeria
Khalid El-Amin,Guard,"'5'10""",200,Connecticut,USA
Don Eliason,Forward,"'6'2""",210,Hamline,USA
Mario Elie,Guard-Forward,"'6'5""",225,American International,USA
CJ Elleby,Forward-Guard,"'6'6""",200,Washington State,USA
Ray Ellefson,Center,"'6'8""",230,West Texas A&M,USA
Henry Ellenson,Forward-Center,"'6'10""",240,Marquette,USA
Wayne Ellington,Guard,"'6'4""",207,North Carolina,USA
Bob Elliott,Center,"'6'9""",225,Arizona,USA
Sean Elliott,Forward,"'6'8""",220,Arizona,USA
Alexander Ellis,Forward,"'6'5""",185,Niagara,USA
Bo Ellis,Forward,"'6'9""",197,Marquette,USA
Dale Ellis,Guard,"'6'7""",205,Tennessee,USA
Harold Ellis,Forward-Guard,"'6'5""",220,Morehouse,USA
Joe Ellis,Forward,"'6'6""",175,San Francisco,USA
Keon Ellis,Guard,"'6'3""",175,Alabama,USA
LaPhonso Ellis,Forward,"'6'8""",240,Notre Dame,USA
LeRon Ellis,Center,"'6'9""",225,Syracuse,USA
Leroy Ellis,Forward,"'6'11""",210,St. John's (NY),USA
Monta Ellis,Guard,"'6'3""",185,Lanier HS (MS),USA
Pervis Ellison,Center,',,Louisville,USA
Len Elmore,Center,"'6'10""",220,Maryland,USA
Francisco Elson,Center-Forward,"'7'0""",240,California,Netherlands
Darrell Elston,Guard,"'6'3""",190,North Carolina,USA
Melvin Ely,Center-Forward,"'6'10""",260,Fresno State,USA
Joel Embiid,Center-Forward,"'7'0""",280,Kansas,Cameroon
Wayne Embry,Center,"'6'8""",240,Miami (Ohio),USA
Andre Emmett,Guard,"'6'5""",230,Texas Tech,USA
Ned Endress,Forward,"'6'2""",200,Akron,USA
Chris Engler,Center,"'6'11""",245,Wyoming,USA
Wayne Englestad,Forward,"'6'8""",245,California-Irvine,USA
A.J. English,Guard,"'6'3""",175,Virginia Union,USA
Alex English,Forward,"'6'8""",190,South Carolina,USA
Claude English,Guard,"'6'4""",185,Rhode Island,USA
Jojo English,Guard,"'6'4""",195,South Carolina,USA
Kim English,Guard,"'6'6""",200,Missouri,USA
Scott English,Forward,"'6'6""",205,Texas-El Paso,USA
Gene Englund,Forward,"'6'4""",205,Wisconsin,USA
Tyler Ennis,Guard,"'6'3""",194,Syracuse,Canada
James Ennis III,Forward,"'6'6""",215,Cal State-Long Beach,USA
Ray Epps,Forward,"'6'6""",195,Norfolk State,USA
Semih Erden,Center,"'7'0""",240,Fenerbahce,Turkey
Bo Erias,Forward,"'6'3""",220,Niagara,USA
Keith Erickson,Forward,"'6'5""",195,UCLA,USA
Julius Erving,Forward,"'6'7""",200,Massachusetts,USA
Evan Eschmeyer,Center,"'6'11""",250,Northwestern,USA
Jack Eskridge,Center,"'6'5""",200,Kansas,USA
Vincenzo Esposito,Guard,"'6'3""",198,Fortitudo Bologna,Italy
Drew Eubanks,Forward-Center,"'6'10""",245,Oregon State,USA
Bob Evans,Guard,"'6'2""",175,Butler,USA
Brian Evans,Forward,"'6'8""",220,Indiana,USA
Earl Evans,Forward,"'6'8""",202,UNLV,USA
Jacob Evans,Guard-Forward,"'6'4""",210,Cincinnati,USA
Jawun Evans,Guard,"'6'0""",190,Oklahoma State,USA
Jeremy Evans,Forward,"'6'9""",200,Western Kentucky,USA
Maurice Evans,Guard-Forward,"'6'5""",220,Texas,USA
Mike Evans,Guard,"'6'1""",170,Kansas State,USA
Reggie Evans,Center-Forward,"'6'8""",245,Iowa,USA
Tyreke Evans,Guard,"'6'6""",220,Memphis,USA
Daniel Ewing,Guard,"'6'3""",185,Duke,USA
Patrick Ewing,Center,"'7'0""",255,Georgetown,Jamaica
Patrick Ewing,Forward,"'6'8""",235,Georgetown,USA
Dante Exum,Guard,"'6'5""",214,Australian Institute of Sport,Australia
Christian Eyenga,Forward,"'6'7""",210,DKV Joventut,Congo
Festus Ezeli,Center,"'6'11""",265,Vanderbilt,Nigeria
Johnny Ezersky,,',,Rhode Island,USA
Joe Fabel,Forward,"'6'1""",190,Pittsburgh,USA
John Fairchild,Forward,"'6'7""",205,Brigham Young,USA
Tacko Fall,Center,"'7'6""",311,UCF,Senegal
Phil Farbman,Forward,"'6'1""",185,City College of New York,USA
Kenneth Faried,Forward-Center,"'6'8""",220,Morehead State,USA
Dick Farley,Guard,"'6'4""",190,Indiana,USA
Jordan Farmar,Guard,"'6'2""",180,UCLA,USA
Desmon Farmer,Guard,"'6'5""",220,Southern California,USA
Jim Farmer,Forward,"'6'4""",190,Alabama,USA
Mike Farmer,Forward,"'6'7""",210,San Francisco,USA
Tony Farmer,Forward,"'6'9""",244,Nebraska,USA
Bob Faught,Forward,"'6'5""",185,Notre Dame,USA
Vitor Faverani,Center,"'6'11""",260,Valencia,Brazil
Derrick Favors,Forward,"'6'9""",265,Georgia Tech,USA
Nick Fazekas,Forward,"'6'11""",235,Nevada,USA
Dave Fedor,Forward,"'6'6""",190,Florida State,USA
Bob Feerick,Guard,"'6'3""",190,Santa Clara,USA
Butch Feher,Guard,"'6'4""",185,Vanderbilt,USA
Jamie Feick,Forward,"'6'8""",255,Michigan State,USA
Ron Feiereisel,Guard,"'6'3""",185,DePaul,USA
George Feigenbaum,Guard,"'6'1""",185,Kentucky,USA
Dave Feitl,Center,"'6'11""",235,Texas-El Paso,USA
Kay Felder,Guard,"'5'9""",176,Oakland,USA
Cristiano Felicio,Forward-Center,"'6'11""",270,Flamengo,Brazil
Carrick Felix,Guard-Forward,"'6'6""",201,Arizona State,USA
Noel Felix,Forward,"'6'9""",225,Fresno State,USA
Ray Felix,Center,"'6'11""",220,Long Island-Brooklyn,USA
Raymond Felton,Guard,"'6'1""",205,North Carolina,USA
Jake Fendley,Guard,"'6'0""",180,Northwestern,USA
Bill Fenley,Forward,"'6'3""",190,Manhattan,USA
Desmond Ferguson,Forward,"'6'7""",210,Detroit,USA
Terrance Ferguson,Guard,"'6'6""",190,Adelaide,USA
Rudy Fernandez,,',,DKV Joventut,Spain
Bruno Fernando,Forward-Center,"'6'9""",240,Maryland,Angola
Eric Fernsten,Center,"'6'10""",205,San Francisco,USA
Al Ferrari,Guard,"'6'4""",190,Michigan State,USA
Rolando Ferreira,Forward,"'7'1""",240,Houston,USA
Duane Ferrell,Forward,"'6'7""",215,Georgia Tech,USA
Yogi Ferrell,Guard,"'6'0""",178,Indiana,USA
Arnie Ferrin,Forward,"'6'4""",180,Utah,USA
Bob Ferry,Center,"'6'8""",230,St. Louis,USA
Danny Ferry,Forward,"'6'10""",235,Duke,USA
Kyrylo Fesenko,Center,"'7'1""",280,Cherkaski,Ukraine
Kenny Fields,Forward,"'6'5""",220,UCLA,USA
Landry Fields,Guard-Forward,"'6'7""",215,Stanford,USA
Ron Filipek,Forward,"'6'5""",205,Tennessee Tech,USA
Greg Fillmore,Center,"'7'1""",240,Cheyney,USA
Hank Finkel,Center,"'7'0""",240,Dayton,USA
Michael Finley,Guard-Forward,"'6'7""",225,Wisconsin,USA
Danny Finn,Guard,"'6'1""",185,St. John's (NY),USA
Dorian Finney-Smith,Forward,"'6'7""",220,Florida,USA
Matt Fish,Center,"'6'11""",235,North Carolina-Wilmington,USA
Derek Fisher,Guard,"'6'1""",210,Arkansas-Little Rock,USA
Gerald Fitch,Guard,"'6'3""",188,Kentucky,USA
Malik Fitts,Forward,"'6'5""",230,St. Mary's College,USA
Bob Fitzgerald,Forward,"'6'5""",190,Fordham,USA
Dick Fitzgerald,Forward,"'6'2""",175,Seton Hall,USA
Marcus Fizer,,',,Iowa State,USA
Jerry Fleishman,Guard,"'6'2""",190,New York University,USA
Al Fleming,Forward,"'6'7""",215,Arizona,USA
Ed Fleming,Guard,"'6'3""",189,Niagara,USA
Vern Fleming,Guard,"'6'5""",185,Georgia,USA
Luis Flores,Guard,"'6'2""",195,Manhattan,USA
Bruce Flowers,Forward,"'6'8""",225,Notre Dame,USA
Sleepy Floyd,Guard,"'6'3""",170,Georgetown,USA
Jonny Flynn,Guard,"'6'0""",185,Syracuse,USA
Malachi Flynn,Guard,"'6'1""",185,San Diego State,USA
Mike Flynn,Guard,"'6'2""",180,Kentucky,USA
Larry Fogle,Guard,"'6'5""",205,Canisius,USA
Jack Foley,Forward,"'6'3""",170,Holy Cross,USA
Ike Fontaine,,',,Washington State,USA
Levi Fontaine,Guard,"'6'4""",190,Maryland-Eastern Shore,USA
Simone Fontecchio,Forward,"'6'7""",209,Baskonia,Italy
Jeff Foote,Center-Forward,"'7'0""",265,Cornell,USA
Bryn Forbes,Guard,"'6'2""",205,Michigan State,USA
Gary Forbes,Forward,"'6'7""",220,Massachusetts,Panama
Aleem Ford,Forward,"'6'8""",220,Wisconsin,USA
Alphonso Ford,Forward,"'6'1""",190,Mississippi Valley State,USA
Alton Ford,Forward,"'6'9""",280,Houston,USA
Chris Ford,Guard,"'6'5""",190,Villanova,USA
Don Ford,Forward,"'6'9""",215,California-Santa Barbara,USA
Jake Ford,Guard,"'6'3""",180,Maryland-Eastern Shore,USA
Jordan Ford,Guard,"'6'1""",175,St. Mary's College,USA
Phil Ford,Guard,"'6'2""",175,North Carolina,USA
Sharrod Ford,Forward,"'6'9""",235,Clemson,USA
Sherell Ford,Forward,"'6'7""",210,Illinois-Chicago,USA
T.J. Ford,Guard,"'6'0""",165,Texas,USA
Donnie Forman,Guard,"'5'10""",175,New York University,USA
Bayard Forrest,Center,"'6'10""",235,Grand Canyon,USA
Trent Forrest,Guard,"'6'4""",210,Florida State,USA
Joseph Forte,Guard,"'6'4""",194,North Carolina,USA
Courtney Fortson,Guard,"'5'11""",185,Arkansas,USA
Danny Fortson,Center-Forward,"'6'8""",260,Cincinnati,USA
Fred Foster,Forward,"'6'5""",210,Miami (Ohio),USA
Greg Foster,Center,"'6'11""",250,Texas-El Paso,USA
Jeff Foster,Forward-Center,"'6'11""",250,Southwest Texas State,USA
Rod Foster,Guard,"'6'1""",160,UCLA,USA
Michael Foster Jr.,Forward,"'6'8""",250,NBA G League Ignite,USA
Antonis Fotsis,Forward,"'6'10""",219,Panathinaikos,Greece
Evan Fournier,Guard-Forward,"'6'6""",205,Poitiers Basket 86,France
Larry Foust,Center,"'6'9""",215,La Salle,USA
Jerry Fowler,Center,"'6'7""",230,Missouri,USA
Tremaine Fowlkes,Forward,"'6'8""",220,Fresno State,USA
De'Aaron Fox,Guard,"'6'3""",185,Kentucky,USA
Harold Fox,Guard,"'6'2""",175,Jacksonville,USA
Jim Fox,Center,"'6'10""",230,South Carolina,USA
Rick Fox,Forward,"'6'7""",235,North Carolina,Canada
Randy Foye,Guard,"'6'4""",218,Villanova,USA
Adonal Foyle,Center,"'6'10""",270,Colgate,St. Vincent & Grenadines
Richie Frahm,Guard,"'6'5""",202,Gonzaga,USA
Steve Francis,Guard,"'6'3""",210,Maryland,USA
Tellis Frank,Forward,"'6'10""",225,Western Kentucky,USA
Nat Frankel,Forward,"'6'0""",195,Brooklyn,USA
Jamaal Franklin,Guard,"'6'5""",191,San Diego State,USA
Robert Franks,Forward,"'6'7""",225,Washington State,USA
Tim Frazier,Guard,"'6'0""",170,Penn State,USA
Walt Frazier,Guard,"'6'4""",200,Southern Illinois,USA
Will Frazier,Forward,"'6'7""",210,Grambling,USA
Michael Frazier II,Guard,"'6'3""",200,Florida,USA
Melvin Frazier Jr.,Guard-Forward,"'6'5""",215,Tulane,USA
Anthony Frederick,Forward,"'6'7""",205,Pepperdine,USA
Jimmer Fredette,Guard,"'6'2""",195,Brigham Young,USA
World Free,Guard,"'6'3""",185,Guilford,USA
Enes Freedom,Center,"'6'10""",250,Fenerbahce,Turkey
Joel Freeland,Center-Forward,"'6'10""",225,Malaga,United Kingdom
Donnie Freeman,Guard,"'6'3""",185,Illinois,USA
Gary Freeman,Forward,"'6'9""",210,Oregon State,USA
Rod Freeman,Forward,"'6'7""",225,Vanderbilt,USA
Javon Freeman-Liberty,Guard,"'6'3""",190,DePaul,USA
Matt Freije,Forward,"'6'9""",249,Vanderbilt,USA
Frido Frey,Forward,"'6'2""",195,Long Island-Brooklyn,USA
Larry Friend,Guard,"'6'4""",185,California,USA
Pat Frink,Guard,"'6'4""",195,Colorado,USA
Jim Fritsche,Center,"'6'8""",210,Hamline,USA
Channing Frye,Forward-Center,"'7'0""",255,Arizona,USA
Bernie Fryer,Guard,"'6'3""",185,Brigham Young,USA
Frank Fucarino,Forward,"'6'2""",175,Long Island-Brooklyn,USA
Alex Fudge,Forward,"'6'8""",200,Florida,USA
Herm Fuetsch,Guard,"'6'0""",170,Polytechnic HS (CA),USA
Joe Fulks,Forward,"'6'5""",190,Murray State,USA
Hiram Fuller,Forward,"'6'9""",240,Fresno State,USA
Todd Fuller,Center,',,North Carolina State,USA
Tony Fuller,Guard,"'6'4""",180,Pepperdine,USA
Markelle Fultz,Guard,"'6'4""",209,Washington,USA
Lawrence Funderburke,Forward,"'6'9""",230,Ohio State,USA
Terry Furlow,Guard,"'6'5""",190,Michigan State,USA
Billy Gabor,Guard,"'5'11""",170,Syracuse,USA
Wenyen Gabriel,Forward,"'6'9""",205,Kentucky,South Sudan
Dan Gadzuric,Center,"'6'11""",240,UCLA,Netherlands
Tony Gaffney,Forward,"'6'8""",205,Massachusetts,USA
Daniel Gafford,Forward-Center,"'6'10""",234,Arkansas,USA
Deng Gai,Forward,"'6'9""",250,Fairfield,South Sudan
Elmer R. Gainer,,',,DePaul,USA
Corey Gaines,Guard,"'6'3""",195,Loyola-Marymount,USA
Reece Gaines,Guard,"'6'6""",205,Louisville,USA
Sundiata Gaines,Guard,"'6'1""",200,Georgia,USA
Mike Gale,Guard,"'6'4""",185,Elizabeth City State,USA
Chad Gallagher,Center,"'6'10""",255,Creighton,USA
Harry Gallatin,Forward,"'6'6""",210,Truman State,USA
Danilo Gallinari,Forward,"'6'10""",236,Olimpia Milano,Italy
Langston Galloway,Guard,"'6'1""",200,St. Joseph's (PA),USA
Dave Gambee,Forward,"'6'6""",215,Oregon State,USA
Kevin Gamble,Forward,"'6'5""",210,Iowa,USA
Bob Gantt,Forward,"'6'4""",205,Duke,USA
Jorge Garbajosa,Forward,"'6'9""",245,Malaga,Spain
Ruben Garces,Forward,',,Providence,USA
Alex Garcia,Guard-Forward,"'6'3""",195,Ribeirao Preto,Brazil
Francisco Garcia,Guard-Forward,"'6'7""",215,Louisville,Dominican Republic
Earl Gardner,Forward,"'6'3""",195,DePauw,USA
Thomas Gardner,Guard,"'6'5""",225,Missouri,USA
Vern Gardner,Center,"'6'5""",200,Utah,USA
Jack Garfinkel,Guard,"'6'0""",190,St. John's (NY),USA
Patricio Garino,Guard-Forward,"'6'6""",203,George Washington,Argentina
Darius Garland,Guard,"'6'1""",192,Vanderbilt,USA
Gary Garland,Guard,"'6'4""",180,DePaul,USA
Winston Garland,Guard,"'6'2""",170,Missouri State,USA
Dick Garmaker,Guard,"'6'3""",200,Minnesota,USA
Chris Garner,Guard,"'5'10""",156,Memphis,USA
Bill Garnett,Forward,"'6'9""",225,Wyoming,USA
Kevin Garnett,Forward,"'6'11""",240,Farragut Academy HS (IL),USA
Marlon Garnett,Guard,"'6'2""",186,Santa Clara,USA
Billy Garrett,Guard-Forward,"'6'6""",215,DePaul,USA
Calvin Garrett,Forward,"'6'7""",190,Oral Roberts,USA
Dean Garrett,Center,"'6'11""",250,Indiana,USA
Diante Garrett,Guard,"'6'4""",190,Iowa State,USA
Eldo Garrett,Guard,"'6'3""",185,Southern Illinois,USA
Marcus Garrett,Guard,"'6'5""",205,Kansas,USA
Rowland Garrett,Forward,"'6'6""",210,Florida State,USA
Tom Garrick,Guard,"'6'2""",185,Rhode Island,USA
John Garris,Forward,"'6'8""",205,Boston College,USA
Kiwane Garris,Guard,"'6'2""",183,Illinois,USA
Pat Garrity,Forward,"'6'9""",238,Notre Dame,USA
Usman Garuba,Forward,"'6'8""",229,Real Madrid,Spain
Jim Garvin,Forward,"'6'7""",200,Boston University,USA
Luka Garza,Center,"'6'10""",243,Iowa,USA
Marc Gasol,Center,"'6'11""",255,FC Barcelona,Spain
Pau Gasol,Center-Forward,"'7'0""",250,FC Barcelona,Spain
Frank Gates,Guard,"'6'0""",160,Sam Houston State,USA
Kaiser Gates,Forward,"'6'7""",225,Xavier,USA
Chris Gatling,Forward,',,Old Dominion,USA
Kenny Gattison,Forward,"'6'8""",225,Old Dominion,USA
Rudy Gay,Forward-Guard,"'6'8""",250,Connecticut,USA
Ed Gayda,Guard,"'6'4""",210,Washington State,USA
Andrew Gaze,,',,Seton Hall,USA
Michael Gbinije,Guard-Forward,"'6'7""",200,Syracuse,USA
Reggie Geary,Guard,"'6'2""",187,Arizona,USA
Alonzo Gee,Forward,"'6'6""",225,Alabama,USA
Matt Geiger,Center,',,Georgia Tech,USA
Mickael Gelabale,Forward,"'6'7""",215,Real Madrid,France
Devean George,Forward,"'6'8""",235,Augsburg,USA
Jack George,Guard,"'6'3""",190,La Salle,USA
Keyonte George,Guard,"'6'4""",185,Baylor,USA
Paul George,Forward,"'6'8""",220,Fresno State,USA
Tate George,Guard,"'6'5""",190,Connecticut,USA
Marcus Georges-Hunt,Guard,"'6'5""",226,Georgia Tech,USA
Gus Gerard,Forward,"'6'8""",200,Virginia,USA
Derrick Gervin,Forward,"'6'8""",200,Texas-San Antonio,USA
George Gervin,Guard,"'6'7""",180,Eastern Michigan,USA
Gorham Getchell,Center,"'6'4""",205,Temple,USA
John Gianelli,Center,"'6'10""",220,Pacific,USA
Dick Gibbs,Forward,"'6'5""",210,Texas-El Paso,USA
Daniel Gibson,Guard,"'6'2""",200,Texas,USA
Dee Gibson,Guard,"'5'11""",175,Western Kentucky,USA
Jonathan Gibson,Guard,"'6'2""",185,New Mexico State,USA
Mel Gibson,Guard,"'6'3""",180,Western Carolina,USA
Mike Gibson,Forward,"'6'10""",205,South Carolina Upstate,USA
Taj Gibson,Forward,"'6'9""",232,Southern California,USA
Ward Gibson,Center,"'6'5""",198,Creighton,USA
J.R. Giddens,Guard,"'6'5""",215,New Mexico,USA
Josh Giddey,Guard,"'6'8""",216,NBA Global Academy,Australia
Trey Gilder,Forward,"'6'9""",205,Northwestern State,USA
Harry Giles III,Forward-Center,"'6'10""",240,Duke,USA
Shai Gilgeous-Alexander,Guard,"'6'6""",195,Kentucky,Canada
Anthony Gill,Forward,"'6'8""",230,Virginia,USA
Eddie Gill,Guard,"'6'0""",190,Weber State,USA
Kendall Gill,Guard,"'6'5""",216,Illinois,USA
Ben Gillery,Center,"'7'0""",235,Georgetown,USA
Collin Gillespie,Guard,"'6'1""",195,Villanova,USA
Freddie Gillespie,Center,"'6'9""",245,Baylor,USA
Gene Gillette,,',,Saint Mary's,USA
Armen Gilliam,Forward,"'6'9""",260,UNLV,USA
Herm Gilliam,Guard,"'6'3""",190,Purdue,USA
Artis Gilmore,Center,"'7'2""",240,Jacksonville,USA
Walt Gilmore,Forward,"'6'6""",225,Fort Valley State,USA
Chuck Gilmur,Forward,"'6'4""",225,Washington,USA
Jacob Gilyard,Guard,"'5'8""",160,Richmond,USA
Manu Ginobili,Guard,"'6'6""",205,Virtus Bologna,Argentina
Gordan Giricek,Guard,"'6'6""",220,CSKA Moscow,Croatia
Jack Givens,Forward,"'6'5""",205,Kentucky,USA
Mickell Gladness,Center,"'6'11""",220,Alabama A&M,USA
George Glamack,Center,"'6'6""",225,North Carolina,USA
Gerald Glass,Forward,"'6'5""",221,Mississippi,USA
Mike Glenn,Guard,"'6'2""",175,Southern Illinois,USA
Norman Glick,Forward,"'6'6""",190,Loyola-Marymount,USA
Georgi Glouchkov,Forward,"'6'8""",235,Akademik Varna,Bulgaria
Clarence Glover,Forward,"'6'8""",210,Western Kentucky,USA
Dion Glover,Forward-Guard,"'6'5""",225,Georgia Tech,USA
Andreas Glyniadakis,Center,"'7'1""",280,AEK Athens,Greece
Mike Gminski,Center,"'6'11""",250,Duke,USA
Rudy Gobert,Center,"'7'1""",258,Cholet,France
Dan Godfread,Forward,"'6'10""",250,Evansville,USA
Tom Gola,Guard,"'6'6""",205,La Salle,USA
Ben Goldfaden,Forward,"'6'1""",185,George Washington,USA
Anthony Goldwire,Guard,"'6'2""",182,Houston,USA
Ryan Gomes,Forward,"'6'7""",245,Providence,USA
Glen Gondrezick,Forward,"'6'6""",218,UNLV,USA
Grant Gondrezick,Guard,"'6'5""",205,Pepperdine,USA
Drew Gooden,Forward,"'6'10""",250,Kansas,USA
Gail Goodrich,Guard,"'6'1""",170,UCLA,USA
Steve Goodrich,Center,"'6'10""",220,Princeton,USA
Archie Goodwin,Guard,"'6'5""",205,Kentucky,USA
Brandon Goodwin,Guard,"'6'0""",180,Florida Gulf Coast,USA
Jordan Goodwin,Guard,"'6'4""",200,St. Louis,USA
Wilfred Goodwin,Forward,"'6'2""",203,St John's Prep HS (NY),USA
Aaron Gordon,Forward,"'6'8""",235,Arizona,USA
Ben Gordon,Guard,"'6'3""",205,Connecticut,USA
Drew Gordon,Center-Forward,"'6'9""",245,New Mexico,USA
Eric Gordon,Guard,"'6'3""",215,Indiana,USA
Lancaster Gordon,Guard,"'6'3""",185,Louisville,USA
Paul Gordon,Forward,"'6'3""",185,Notre Dame,USA
Marcin Gortat,Center,"'6'11""",240,RheinEnergie Cologne,Poland
Leo Gottlieb,Guard,"'5'11""",180,DeWitt Clinton HS (NY),USA
Andrew Goudelock,Guard,"'6'3""",200,Charleston,USA
Bato Govedarica,Guard,"'5'11""",185,DePaul,USA
Joe Graboski,Forward,"'6'8""",195,Tuley HS (IL),USA
Ricky Grace,Guard,"'6'1""",180,Oklahoma,USA
Devonte' Graham,Guard,"'6'1""",195,Kansas,USA
Greg Graham,Guard,"'6'4""",174,Indiana,USA
Joey Graham,Forward,"'6'7""",230,Oklahoma State,USA
Mal Graham,Guard,"'6'1""",185,New York University,USA
Orlando Graham,Forward,"'6'8""",220,Auburn-Montgomery,USA
Paul Graham,Guard,"'6'6""",200,Ohio,USA
Stephen Graham,Guard-Forward,"'6'6""",215,Oklahoma State,USA
Treveon Graham,Guard-Forward,"'6'5""",219,Va Commonwealth,USA
Jim Grandholm,Center,"'7'0""",235,South Florida,USA
Ronnie Grandison,Forward,"'6'6""",220,New Orleans,USA
Danny Granger,Forward-Guard,"'6'9""",222,New Mexico,USA
Stewart Granger,Guard,"'6'3""",190,Villanova,USA
Brian Grant,Forward-Center,"'6'9""",254,Xavier,USA
Bud Grant,Forward,"'6'3""",195,Minnesota,USA
Gary Grant,Guard,',,Michigan,USA
Greg Grant,Guard,"'5'7""",140,College of New Jersey,USA
Harvey Grant,Forward,"'6'9""",225,Oklahoma,USA
Horace Grant,Center,"'6'10""",245,Clemson,USA
Jerami Grant,Forward,"'6'7""",210,Syracuse,USA
Jerian Grant,Guard,"'6'4""",198,Notre Dame,USA
Josh Grant,Forward,"'6'9""",223,Utah,USA
Paul Grant,Center,"'7'0""",245,Wisconsin,USA
Travis Grant,Forward,"'6'7""",215,Kentucky State,USA
Donte Grantham,Forward,"'6'8""",215,Clemson,USA
Don Grate,Guard,"'6'2""",185,Ohio State,USA
Butch Graves,Forward,"'6'3""",200,Yale,USA
Hassani Gravett,Guard,"'6'2""",187,South Carolina,USA
Aaron Gray,Center,"'7'0""",270,Pittsburgh,USA
Devin Gray,Forward,"'6'7""",240,Clemson,USA
Ed Gray,Guard,"'6'3""",210,California,USA
Evric Gray,Forward,"'6'7""",235,UNLV,USA
Gary Gray,Guard,"'6'1""",185,Oklahoma City,USA
Josh Gray,Guard,"'6'0""",180,Louisiana State,USA
Leonard Gray,Forward,"'6'8""",240,Long Beach State,USA
RaiQuan Gray,Forward,"'6'7""",269,Florida State,USA
Stuart Gray,Center,"'7'0""",235,UCLA,USA
Sylvester Gray,Forward,"'6'6""",230,Memphis,USA
Wyndol Gray,Guard,"'6'1""",175,Harvard,USA
Jeff Grayer,Guard,"'6'5""",210,Iowa State,USA
Bob Greacen,Forward,"'6'7""",206,Rutgers,USA
A.C. Green,Forward,"'6'9""",225,Oregon State,USA
AJ Green,Guard,"'6'4""",190,Northern Iowa,USA
Danny Green,Guard,"'6'6""",215,North Carolina,USA
Devin Green,Guard-Forward,"'6'7""",212,Hampton,USA
Draymond Green,Forward,"'6'6""",230,Michigan State,USA
Erick Green,Guard,"'6'4""",185,Virginia Tech,USA
Gerald Green,Guard-Forward,"'6'7""",205,No College,USA
JaMychal Green,Forward-Center,"'6'9""",227,Alabama,USA
Jalen Green,Guard,"'6'4""",186,NBA G League Ignite,USA
Javonte Green,Guard,"'6'5""",205,Radford,USA
Jeff Green,Forward,"'6'8""",235,Georgetown,USA
Johnny Green,Forward,"'6'5""",200,Michigan State,USA
Josh Green,Guard,"'6'5""",200,Arizona,Australia
Ken Green,Forward,"'6'8""",215,Texas-Pan American,USA
Kenny Green,Guard,"'6'6""",210,Wake Forest,USA
Lamar Green,Forward,"'6'7""",210,Morehead State,USA
Litterial Green,Guard,"'6'1""",185,Georgia,USA
Luther Green,Forward,"'6'7""",190,Long Island-Brooklyn,USA
Mike Green,Center,"'6'10""",200,Louisiana Tech,USA
Rickey Green,Guard,"'6'0""",170,Michigan,USA
Sean Green,Guard,"'6'5""",210,Iona,USA
Si Green,Guard,"'6'2""",185,Duquesne,USA
Sidney Green,Forward,"'6'9""",220,UNLV,USA
Steve Green,Forward,"'6'7""",220,Indiana,USA
Taurean Green,Guard,"'6'0""",177,Florida,USA
Tommy Green,Guard,"'6'2""",185,Southern,USA
Willie Green,Guard,"'6'3""",205,Detroit,USA
Donte Greene,Forward,"'6'11""",226,Syracuse,USA
Orien Greene,Guard,"'6'4""",208,Louisiana-Lafayette,USA
Jerry Greenspan,Forward,"'6'5""",195,Maryland,USA
David Greenwood,Forward,"'6'9""",222,UCLA,USA
Hal Greer,Guard,"'6'2""",175,Marshall,USA
Lynn Greer,Guard,"'6'2""",175,Temple,USA
Gary Gregor,Forward,"'6'7""",225,South Carolina,USA
Claude Gregory,Forward,"'6'8""",205,Wisconsin,USA
John Greig,Forward,"'6'7""",215,Oregon,USA
Norm Grekin,Forward,"'6'5""",180,La Salle,USA
Kevin Grevey,Guard,"'6'5""",210,Kentucky,USA
