Name,Position,Height,Weight,Last Attended,Country
Brandon Armstrong,Guard,"'6'5""",185,Pepperdine,USA
Darrell Armstrong,Guard,"'6'1""",180,Fayetteville State,USA
Hilton Armstrong,Forward-Center,"'6'11""",235,Connecticut,USA
Paul Armstrong,Guard,"'5'11""",170,Indiana,USA
Tate Armstrong,Guard,"'6'3""",175,Duke,USA
Jesse Arnelle,Forward,"'6'5""",220,Penn State,USA
Jay Arnette,Guard,"'6'2""",175,Texas,USA
Bob Arnzen,Forward,"'6'5""",205,Notre Dame,USA
Carlos Arroyo,Guard,"'6'2""",200,Florida International,Puerto Rico
Darrell Arthur,Forward,"'6'9""",235,Kansas,USA
John Arthurs,Guard,"'6'4""",185,Tulane,USA
Jamel Artis,Guard,"'6'7""",213,Pittsburgh,USA
Omer Asik,Center,"'7'0""",255,Fenerbahce,Turkey
Vincent Askew,Guard,"'6'6""",210,Memphis,USA
Keith Askins,Forward-Guard,"'6'8""",215,Alabama,USA
Don Asmonga,Guard,"'6'2""",185,Alliance,USA
Richard Atha,Guard,"'6'2""",190,Indiana State,USA
Chucky Atkins,Guard,"'5'11""",185,South Florida,USA
Alvin Attles,Guard,"'6'1""",175,North Carolina A&T,USA
Chet Aubuchon,Guard,"'5'10""",137,Michigan State,USA
Stacey Augmon,Forward-Guard,"'6'8""",213,UNLV,USA
D.J. Augustin,Guard,"'5'11""",183,Texas,USA
James Augustine,Forward,"'6'10""",235,Illinois,USA
Ike Austin,Center,"'6'10""",288,Arizona State,USA
John Austin,Guard,"'6'0""",170,Boston College,USA
Ken Austin,Forward,"'6'9""",205,Rice,USA
Deni Avdija,Forward,"'6'9""",210,Maccabi Tel Aviv,Israel
Anthony Avent,Center,"'6'9""",240,Seton Hall,USA
William Averitt,Guard,"'6'2""",170,Pepperdine,USA
William Avery,Guard,"'6'2""",180,Duke,USA
Dennis Awtrey,Center,"'6'10""",235,Santa Clara,USA
Joel Ayayi,Guard,"'6'4""",180,Gonzaga,France
Gustavo Ayon,,',,Baloncesto Fuenlabrada,Mexico
Jeff Ayres,Forward-Center,"'6'9""",250,Arizona State,USA
Deandre Ayton,Center,"'7'0""",247,Arizona,Bahamas
Kelenna Azubuike,Guard,"'6'5""",215,Kentucky,United Kingdom
Udoka Azubuike,Center-Forward,"'6'11""",270,Kansas,Nigeria
Chris Babb,Guard,"'6'5""",225,Iowa State,USA
Luke Babbitt,Forward,"'6'9""",225,Nevada,USA
Milos Babic,Center,"'7'0""",240,Tennessee Tech,USA
Johnny Bach,Forward,"'6'2""",180,Fordham,USA
Dwayne Bacon,Guard-Forward,"'6'6""",221,Florida State,USA
Ibou Badji,Center,"'7'0""",240,FC Barcelona,Senegal
Jim Baechtold,Forward,"'6'4""",205,Eastern Kentucky,USA
Dalibor Bagaric,Center,"'7'1""",290,Benston Zagreb,Croatia
John Bagley,Guard,"'6'0""",185,Boston College,USA
Marvin Bagley III,Forward,"'6'10""",235,Duke,USA
Amari Bailey,Guard,"'6'3""",185,UCLA,USA
Carl Bailey,Center,"'7'0""",210,Tuskegee,USA
Gus Bailey,Guard,"'6'5""",185,Texas-El Paso,USA
James Bailey,Forward,"'6'9""",220,Rutgers,USA
Thurl Bailey,Forward,"'6'11""",247,North Carolina State,USA
Toby Bailey,Guard,"'6'6""",213,UCLA,USA
Cameron Bairstow,Forward-Center,"'6'9""",250,New Mexico,Australia
Mark Baker,Guard,"'6'1""",175,Ohio State,USA
Maurice Baker,Guard,"'6'2""",200,Oklahoma State,USA
Norm Baker,Guard,"'6'0""",180,Victoria,Canada
Ron Baker,Guard,"'6'4""",220,Wichita State,USA
Vin Baker,Forward,"'6'11""",240,Hartford,USA
Wade Baldwin IV,Guard,"'6'4""",200,Vanderbilt,USA
Patrick Baldwin Jr.,Forward,"'6'9""",220,Wisconsin-Milwaukee,USA
Renaldo Balkman,Forward,"'6'8""",225,South Carolina,USA
Cedric Ball,Forward,"'6'8""",210,North Carolina-Charlotte,USA
LaMelo Ball,Guard,"'6'7""",180,Illawarra,USA
Lonzo Ball,Guard,"'6'6""",190,UCLA,USA
Greg Ballard,Forward,"'6'7""",215,Oregon,USA
Herschel Baltimore,Forward,"'6'4""",195,Penn State,USA
Mo Bamba,Center,"'7'0""",231,Texas,USA
Paolo Banchero,Forward,"'6'10""",250,Duke,USA
Desmond Bane,Guard,"'6'5""",215,TCU,USA
Gene Banks,Forward,"'6'7""",215,Duke,USA
Marcus Banks,Guard,"'6'2""",205,UNLV,USA
Ken Bannister,Forward,"'6'9""",235,St. Augustine's,USA
Mike Bantom,Forward,"'6'9""",200,St. Joseph's (PA),USA
Dalano Banton,Forward,"'6'8""",204,Nebraska,Canada
Cat Barber,Guard,"'6'1""",173,North Carolina State,USA
John Barber,Forward,"'6'6""",210,California State-Los Angeles,USA
Leandro Barbosa,Guard,"'6'3""",194,Bauru,Brazil
Stephen Bardo,Guard,"'6'5""",190,Illinois,USA
J.J. Barea,Guard,"'5'10""",180,Northeastern,Puerto Rico
Andrea Bargnani,Center-Forward,"'7'0""",245,Benetton Treviso,Italy
Cliff Barker,Guard,"'6'2""",185,Kentucky,USA
Tom Barker,Center,"'6'11""",225,Hawaii,USA
Charles Barkley,Forward,"'6'6""",252,Auburn,USA
Erick Barkley,Guard,"'6'1""",185,St. John's (NY),USA
Don Barksdale,Forward,"'6'6""",200,UCLA,USA
Dominick Barlow,Forward,"'6'9""",215,Overtime Elite,USA
Harrison Barnes,Forward,"'6'8""",225,North Carolina,USA
Harry Barnes,Forward,"'6'3""",205,Northeastern,USA
Jim Barnes,Center,"'6'8""",210,Texas-El Paso,USA
Marvin Barnes,Forward,"'6'9""",210,Providence,USA
Matt Barnes,Forward,"'6'7""",226,UCLA,USA
Scottie Barnes,Forward-Guard,"'6'7""",237,Florida State,USA
